Domain,Domain category,Domain subcategory,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID,Output_list,Output_categories
Chip manufacturing,Chip manufacturing,,"sensor data, time series",['Fault prediction'],Data driven,"['FFT', 'Kurtogram', 'Spectral kurtosis', 'Auto-regression moving average (ARMA)', 'Deep learning']","Yes: Spectral kurtosis, Kurtogram, Power spectrum density estimation",4.0,2-s2.0-105001370622,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"['Convergent Cross Mapping (CCM)', 'Random Forest (RF)']","Yes: Decision trees (RF) are interpretable, and CCM provides causal analysis",4.0,2-s2.0-105000252007,['fault prediction'],['Fault prediction']
Industrial machinery,Industrial systems,,"sensor data, time series",['Fault prediction'],Data driven,Not explicitly specified,No,2.0,2-s2.0-85161452010,['fault prediction'],['Fault prediction']
Industrial control systems,Industrial systems,,sensor data,Fault prediction,Data driven,"Support Vector Machine (SVM), Feature extraction algorithms",No,3.0,2-s2.0-85188678063,['fault prediction'],['Fault prediction']
Rotating machinery / Industrial systems involving vibration analysis,Industrial systems,Rotating machinery / Bearings,"sensor data, time series",Fault prediction (Unbalance severity classification),Data driven,"Maximum Overlap Discrete Wavelet Transform, CNN",No,4.0,2-s2.0-85185708089,['fault prediction (unbalance severity classification)'],['Fault prediction']
Industrial systems or equipment (implied by multi-sensor data and RUL prediction; specific domain not explicitly mentioned but relevant to predictive maintenance of complex machinery),Industrial systems,,"sensor data, time series",Remaining Useful Life,Data driven,Spatial-temporal attention network (STAnet),No,4.0,2-s2.0-85172360927,['remaining useful life'],['Remaining Useful Life']
Industrial Wireless Sensors and Actuators Networks (IWSANs),Industrial systems,,wireless spectrum data,Failure prediction,Data driven,Deep Q Network (DQN),No,1.0,2-s2.0-85127328091,['failure prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Remaining Useful Life,Data driven,Singular Value Decomposition (SVD),Yes: SVD is an interpretable matrix factorization technique,4.0,2-s2.0-85142695581,['remaining useful life'],['Remaining Useful Life']
Industrial systems,Industrial systems,,sensor data,Anomaly detection,Data driven,"Temporal Convolutional Network (TCN), Attention Mechanism",No,3.0,2-s2.0-85151151602,['anomaly detection'],['Fault detection']
Industrial systems / Production plant,Industrial systems,,sensor data,Warning / Fault prediction,Hybrid,Hybrid intelligence,Yes: Interpretable / hybrid approach,2.0,2-s2.0-85088740929,['warning / fault prediction'],"['Fault prediction', 'Other']"
Manufacturing sector,Manufacturing systems,,"['sensor data', 'big data analytics']",['Predictive maintenance'],Data driven,Not explicitly specified,No,2.0,2-s2.0-85213866669,['predictive maintenance'],['Predictive maintenance']
"Industrial systems with rotating machinery (e.g., electric motors, bearings)",Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,Convolutional Neural Network (CNN),Yes: network visualization,4.0,2-s2.0-85136981243,['fault prediction'],['Fault prediction']
Manufacturing,Manufacturing systems,,structured data,Anomaly detection,Data driven,Non-negative matrix factorization (NMF),Yes: NMF,4.0,2-s2.0-85202153737,['anomaly detection'],['Fault detection']
Chip manufacturing,Chip manufacturing,,structured data,Fault prediction,Rules and/or logic based,"Fault injection simulation, Redundancy techniques (DMR, TMR)",Yes: Fault injection simulation and redundancy measures are interpretable,3.0,2-s2.0-85187706278,['fault prediction'],['Fault prediction']
Manufacturing (Steel Industry),Manufacturing systems,,"sensor data, time series","['Remaining Useful Life', 'Fault prediction']",Data driven,"['LSTM', 'Bayesian Online Changepoint Detection (BOCD)']",No,4.0,2-s2.0-85111296229,"['remaining useful life', 'fault prediction']","['Fault prediction', 'Remaining Useful Life']"
Infrastructure systems (elevators) / Building systems,Commercial buildings,elevators,"sensor data, time series",Fault prediction,Unsupervised learning,Siamese neural networks,No,3.0,2-s2.0-85197942424,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,"sensor data, time series","Remaining Useful Life, Fault prediction, Root cause analysis",Data driven,"Multimodal ML methods, Data fusion methods",No,4.0,2-s2.0-85082489887,"['remaining useful life', ' fault prediction', ' root cause analysis']","['Fault prediction', 'Root cause analysis', 'Remaining Useful Life']"
Industry 4.0,Industrial systems,,time series,Causal graph / Causal relationships,Knowledge based,Causal discovery methods,Yes: causal graphs,3.0,2-s2.0-85151061649,['causal graph / causal relationships'],['Other']
Elevator systems,Commercial buildings,elevators,sensor data,Fault prediction,Data driven,Not explicitly specified,No,3.0,2-s2.0-85078397983,['fault prediction'],['Fault prediction']
Industrial production environments,Industrial systems,,sensor data,Fault prediction,Data driven,Federated Learning,No,3.0,2-s2.0-85134358983,['fault prediction'],['Fault prediction']
Industrial systems / Rotating machinery,Industrial systems,Rotating machinery / Bearings,"['sensor data', 'time series', 'images']",['Fault prediction'],Data driven,"['Autoencoders (AE)', 'MLP']",No,3.0,2-s2.0-85219210636,['fault prediction'],['Fault prediction']
Industrial machinery / Production equipment,Industrial systems,,sensor data,Fault prediction,Data driven,Signal processing and classification algorithms,Yes: Signal-based condition indicators,4.0,2-s2.0-85128757643,['fault prediction'],['Fault prediction']
Industrial production lines / Manufacturing systems,Industrial systems,,sensor data,Fault prediction,Rules and/or logic based,"Mini-term variability analysis, PLC code logic",Yes: rule-based / interpretability through monitored mini-terms,2.0,2-s2.0-85075685781,['fault prediction'],['Fault prediction']
Building systems / HVAC systems,HVAC,buildings,sensor data,Fault prediction,Unsupervised learning / Data driven,Variational Autoencoder (VAE),Yes: feature extraction and anomaly detection through VAEs,4.0,2-s2.0-105003621558,['fault prediction'],['Fault prediction']
Manufacturing / Production systems,Manufacturing systems,,"sensor data, time series, unstructured data","Fault prediction, Remaining Useful Life",Data driven,"Artificial Intelligence, Big Data analytics",No,3.0,2-s2.0-85161184703,"['fault prediction', ' remaining useful life']","['Fault prediction', 'Remaining Useful Life']"
Pharmaceutical facilities,Pharmaceutical facilities,,sensor data,Fault prediction,Data driven,"Electrophysiology, impedance spectroscopy, electrochemical sensing",No,2.0,2-s2.0-105001878864,['fault prediction'],['Fault prediction']
Industrial motors / Electrical machinery,Industrial systems,,sensor data,Fault prediction,Data driven,Sequence analysis / Signal pattern analysis,Yes: pattern recognition based on fault signatures,3.0,2-s2.0-85089617526,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Random Forest Classifier (RF),Yes: feature importance analysis,3.0,2-s2.0-85115448668,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,"sensor data, operational and situational data",Remaining Useful Life,Data driven,"Artificial Neural Networks, Long-Short Term Memory (LSTM)",No,4.0,2-s2.0-85201978804,['remaining useful life'],['Remaining Useful Life']
Manufacturing,Manufacturing systems,,sensor data,Remaining Useful Life,Deep Learning,"['Autoencoders', 'CNNs', 'RNNs', 'GANs', 'Deep Reinforcement Learning']",No,4.0,2-s2.0-85181978672,['remaining useful life'],['Remaining Useful Life']
Automotive manufacturing and vehicle components (BMW Motors Steyr) and engine/rotax systems (BRP Rotax),Manufacturing systems,,"sensor data, operating data, error data","Maintenance process improvement, Event interpretation",Data driven,"Data analysis, Visualization, Filtering and aggregation mechanisms",Yes: Visualization and filtering mechanisms,2.0,2-s2.0-85083985512,"['maintenance process improvement', ' event interpretation']",['Other']
Manufacturing systems,Manufacturing systems,,sensor data,Fault prediction,Data driven,LSTM,No,4.0,2-s2.0-85072963239,['fault prediction'],['Fault prediction']
Industrial manufacturing,Industrial systems,,sensor data,Labeling / Data annotation,Hybrid,"Active learning, Visual interactive tools",Yes: Visual interpretability,2.0,2-s2.0-85172735051,['labeling / data annotation'],['Other']
Manufacturing systems,Manufacturing systems,,sensor data,Background noise characterization / Sensor stability assessment,Data driven,Regression analysis (Allan Variance analysis),Yes: Regression analysis / Variance analysis,4.0,2-s2.0-85119615510,['background noise characterization / sensor stability assessment'],['Other']
Semiconductor manufacturing,Manufacturing systems,,sensor data,Fault prediction,Data driven,Not explicitly specified,No,3.0,2-s2.0-85174627327,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,Big Data IoT architecture,No,4.0,2-s2.0-85140485983,['fault prediction'],['Fault prediction']
"Industrial systems (specifically, turbine engines and batteries within prognostics and health management applications)",Industrial systems,,time series,Remaining Useful Life,Data driven,Neural networks (NN),No,4.0,2-s2.0-85174445300,['remaining useful life'],['Remaining Useful Life']
Elevator systems,Commercial buildings,elevators,sensor data,Fault prediction,Data driven,Data fusion,Yes: Data fusion,3.0,2-s2.0-85078422175,['fault prediction'],['Fault prediction']
Industrial machinery / Mechanical equipment,Industrial systems,,sensor data,Fault prediction,Physics based,Sagnac interferometer sensing technology,Yes: physics-based measurement and analysis,3.0,2-s2.0-85152773738,['fault prediction'],['Fault prediction']
Chip manufacturing,Chip manufacturing,,sensor data,Remaining Useful Life,Data driven,Recurrent Neural Network (RNN) with attention mechanism,Yes: Attention mechanism,4.0,2-s2.0-85180735386,['remaining useful life'],['Remaining Useful Life']
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Deep correlation feature extraction network,Yes: correlation analysis and residual processing,3.0,2-s2.0-85200738276,['fault prediction'],['Fault prediction']
Industrial equipment or manufacturing systems,Industrial systems,,sensor data,Remaining Useful Life,Graph neural networks (GNNs) / Data driven,"Federated Learning, Dynamic Graphs, Graph Neural Networks (GNN)",No,4.0,2-s2.0-85210180352,['remaining useful life'],['Remaining Useful Life']
Manufacturing / Industrial systems,Industrial systems,,sensor data,Other,Data driven,,No,2.0,2-s2.0-85210422293,['other'],['Other']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,,No,2.0,2-s2.0-85081408076,['fault prediction'],['Fault prediction']
Industrial systems,Industrial systems,,sensor data,Remaining Useful Life,Data driven,Unspecified,No,3.0,2-s2.0-85083979172,['remaining useful life'],['Remaining Useful Life']
Machine tools / Manufacturing systems,Manufacturing systems,,"sensor data, multidimensional data",Fault prediction / Fault diagnosis,Data driven,Not explicitly mentioned,No,2.0,2-s2.0-85092203934,['fault prediction / fault diagnosis'],"['Fault prediction', 'Fault diagnosis']"
Industrial control systems / Embedded systems,Industrial systems,,"sensor data, control program data","Fault prediction, Root cause analysis",Rules and/or logic based,"Hardware-in-loop simulation, Fault injection",Yes: Rules-based fault detection techniques,4.0,2-s2.0-85090097356,"['fault prediction', ' root cause analysis']","['Fault prediction', 'Root cause analysis']"
HVAC,HVAC,,sensor data,['Fault prediction'],Data driven,"['Principal Component Analysis (PCA)', 'Wrapper method']",Yes: PCA and feature selection techniques,4.0,2-s2.0-85213046108,['fault prediction'],['Fault prediction']
Industrial systems / Rotating machinery,Industrial systems,Rotating machinery / Bearings,"['sensor data', 'time series', 'images']",['Fault prediction'],Data driven,"['Convolutional Neural Networks (CNN)', 'Wavelet transform']",No,4.0,2-s2.0-85201070437,['fault prediction'],['Fault prediction']
Industrial systems / Machinery fault diagnosis,Industrial systems,,sensor data,Fault prediction,Data driven,Deep learning / Neural networks with FHE encryption,No,4.0,2-s2.0-85097388101,['fault prediction'],['Fault prediction']
Industrial assets / equipment,Industrial systems,,multivariate time series,Remaining Useful Life,Data driven,Fully convolutional network (FCN),Yes: Sensor-importance score,4.0,2-s2.0-85101327236,['remaining useful life'],['Remaining Useful Life']
Industrial systems,Industrial systems,,sensor data,Fault prediction,Data driven,"Unsupervised anomaly detection, supervised evaluation",Yes: Rule-based anomaly detection techniques,3.0,2-s2.0-85091269628,['fault prediction'],['Fault prediction']
