Domain,Domain category,Domain subcategory,Input,Output,Modeling category,Modeling technique,Explainability,Relevance,EID
Industrial machinery / Engine prognostics,Industrial systems,,sensor data,Remaining Useful Life,Hybrid,"['PCA', 'Rao-Blackwellized Particle Filter', 'Bivariate Weibull distribution']","Yes: PCA, Bivariate Weibull distribution",2.0,2-s2.0-85102920652
"Industrial systems (general, involving condition monitoring and fault diagnosis)",Industrial systems,,unstructured data,Fault prediction,Data driven,"Sentence BERT, dimensionality reduction, unsupervised clustering",Yes: visualization techniques and feature analysis,3.0,2-s2.0-85178380051
Gas turbines / Oil & Gas sector,Oil and gas industry,Oil and Gas,"sensor data, time series",Fault prediction,Data driven,Random Forest,Yes: Decision trees,4.0,2-s2.0-85115442623
Aerospace industry,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,Convolutional Neural Network (CNN),No,4.0,2-s2.0-85204300869
Other,Other,,unstructured data,Other,Data driven,Not specified,No,0.0,2-s2.0-85209937217
Other,Other,,sensor data,Fault prediction,Data driven,Chi-square fault detection,Yes: Chi-square test,3.0,2-s2.0-85111934850
Public transit systems / Rail infrastructure,Transportation systems,trains,"sensor data, time series",Anomaly detection / Fault detection,Data driven,"LSTM Autoencoder, Sparse Autoencoder, SHAP",Yes: SHAP,4.0,2-s2.0-85197727582
Electrical machinery / Motors,Electrical systems,,sensor data,Fault prediction / Fault localization,Hybrid,"Finite Element Analysis (FEA), Sparse Nonlinear Optimization (SNOPT), Canonical Correlation Analysis (CCA)",Yes: interpretable physics-based models and feature fusion techniques,4.0,2-s2.0-85182283296
Aerospace,Aicraft / Aviation / Aerospace,,sensor data,Fault prediction,Data driven,"Autoencoder, Input-output models",Yes: residual-based interpretability,4.0,2-s2.0-85178370028
Gas turbines,Gas,,sensor data,Remaining Useful Life,Hybrid,"['Bayesian network', 'Particle filter']",Yes: Bayesian network,4.0,2-s2.0-85177194757
Aircraft systems,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,Supervised Machine Learning,No,4.0,2-s2.0-85178346899
Mechanical systems / Rotating machinery,Mechanical systems,Rotating machinery / Bearings,sensor data (oil debris monitoring sensor data),"Remaining Useful Life, Fault prediction",Data driven,"Not explicitly mentioned, likely statistical or machine learning methods based on sensor data",No,4.0,2-s2.0-85150436730
HVAC,HVAC,,sensor data,Fault prediction,Data driven,Bayesian classifier,Yes: Bayesian classifier,5.0,2-s2.0-85089585329
Electrical machinery / Motor systems,Electrical systems,,sensor data,Fault prediction,Hybrid,"['Genetic algorithm', 'Clustering']",No,4.0,2-s2.0-85178562514
Battery management systems,Energy systems (not HVAC),Battery,sensor data,Fault prediction,Physics informed,Differential Voltage Analysis (DVA),Yes: Differential Voltage Analysis,3.0,2-s2.0-85204439693
Power systems / Railway traction networks,Power systems,,sensor data,Fault prediction,Data driven,"Meta-learning, Geometric Deep Learning",No,4.0,2-s2.0-85210256250
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"['1D-CNN', 'Multilinear Principal Component Analysis (MPCA)']",No,4.0,2-s2.0-85210260994
Industrial systems (sensor fusion for multisource data in industrial environments),Industrial systems,,sensor data,Fault prediction,Data driven,Mutual error monitoring (MEMS),Yes: rule-based / logical based,2.0,2-s2.0-85138496354
Agricultural systems / Farm fields,Agriculture,,"sensor data, cloud data, iot data",Monitoring / Fault detection,Data driven,Not explicitly specified,No,0.0,2-s2.0-85113740700
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Rules and/or logic based,Voltage sensors and circuit-level logic,Yes: Rules-based detection,3.0,2-s2.0-85163208832
Military ground vehicles / Asset health management in military systems,Transportation systems,Vehicles,"sensor data, time series, maintenance logs, fault data","Asset health status, Fault information",Other,"Visualization techniques, Human computer interaction",Yes: Interpretable visualization methods,1.0,2-s2.0-85150451862
Chip manufacturing,Chip manufacturing,,sensor data,Remaining Useful Life,Data driven,Deep neural networks,No,4.0,2-s2.0-85091657592
"Gas turbines (energy industry / aviation) - related to industrial systems but not explicitly listed; since the options are limited, this can be classified as 'Energy industry' or 'Aviation industry' if available, but since only specific options are given, I will specify 'Energy industry'.",Aicraft / Aviation / Aerospace,,sensor data,Fault prediction,Data driven,"Convolutional Neural Network (CNN), LIME",Yes: LIME,2.0,2-s2.0-85115447932
Aerospace systems / Engine fault detection,Aicraft / Aviation / Aerospace,,"sensor data, time series",Fault prediction,Data driven,"Wavelet transform, CNN, One-class SVM",No,2.0,2-s2.0-85204311406
Electric Vehicle Charging Infrastructure,Electrical systems,,"sensor data, structured data",Predictive maintenance,Data driven,Not explicitly specified in abstract,No,4.0,2-s2.0-86000263446
Aircraft engines,Aicraft / Aviation / Aerospace,,"sensor data, time series",Remaining Useful Life,Data driven,Deep convolutional neural network,No,2.0,2-s2.0-85148756544
Aerospace engines (turbofan engine),Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,LSTM with external memory (Neural Turing Machine concept),No,2.0,2-s2.0-85091657999
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Transmissibility operators,Yes: Transmissibility operators,3.0,2-s2.0-85167798915
IoT applications,IoT systems,,structured data,"Error detection / Data security (not typical predictive maintenance output, but related to system reliability)",Rules and/or logic based,"Parity-based error detection, Verilog-based implementation",Yes: rules-based / logic-based,1.0,2-s2.0-85218412485
Healthcare,Healthcare,,sensor data,Anomalies,Data driven,"['K-means', 'K-medoids']",Yes: Clustering techniques,0.0,2-s2.0-85116931020
Level crossing automation systems / Railway safety,Transportation systems,trains,"sensor data, images","['Fault prediction', 'Root cause analysis']",Data driven,"SSD (Single Shot MultiBox Detector), IR sensors detection algorithms",No,1.0,2-s2.0-85097850238
Nuclear power plant (NPP) systems,Power systems,nuclear,sensor data,Remaining Useful Life,Data driven,Graph Neural Networks (GNNs),No,4.0,2-s2.0-85210236422
Pharmaceutical facilities,Pharmaceutical facilities,,structured data,Fault prediction,Rules and/or logic based,"t-tests, bootstrapping, parameter estimation",Yes: statistical tests (single-sample t-tests),3.0,2-s2.0-85204475597
Other,Other,,"sensor data, diagnostic assessments, prognostic assessments","Asset health / system health status, Margin (proximity to failure)",Hybrid,Not explicitly specified,No,2.0,2-s2.0-85178354098
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,"['AdaBoost', 'RNN', 'Principal Component Analysis']",No,4.0,2-s2.0-85218410100
Aircraft engines,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,BiLSTM with attention mechanism,No,4.0,2-s2.0-85204345637
Wireless Sensor Networks (WSN),Sensor networks,,sensor data,Fault prediction,Data driven,"Deep learning, Machine Learning",No,2.0,2-s2.0-85195918005
Oil and gas production facilities,Oil and gas industry,Oil and Gas,sensor data,Degradation detection,Data driven,Autoencoder,No,4.0,2-s2.0-85116869516
Industrial systems / Mechanical systems (bearing systems in machinery),Industrial systems,,sensor data,Fault prediction,Data driven,Convolutional Neural Network (CNN),No,2.0,2-s2.0-85181822536
Industrial systems (general),Industrial systems,,sensor data,Remaining Useful Life,Data driven,Hidden Markov Model,Yes: Hidden Markov Model,3.0,2-s2.0-85107303640
Other,Other,,sensor data,Not specified,Other,Not specified,No,1.0,2-s2.0-85135474146
Mining sites / Industrial heritage,Industrial systems,,sensor data,Remaining Useful Life / Fault prediction,Data driven,Artificial intelligence,No,2.0,2-s2.0-105008983049
Aero-engine systems,Aicraft / Aviation / Aerospace,,sensor data,Fault prediction,Rules and/or logic based,Kalman filter,Yes: Kalman filter,3.0,2-s2.0-85181824665
Human biomechanics / Medical devices / Healthcare,Healthcare,,sensor data,Remaining Useful Life,Data driven,"Not explicitly specified, possibly statistical or machine learning models based on sensor data",No,3.0,2-s2.0-85107269899
Robotic workplaces,Robotics,robots,sensor data,Fault prediction,Data driven,Not specified,No,3.0,2-s2.0-85216679837
Aerospace systems,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,"['CNN', 'LSTM', 'Bidirectional LSTM']",Yes: SHAP,2.0,2-s2.0-85100581180
Wind turbines / Offshore wind energy,Energy systems (not HVAC),Wind energy systems,sensor data,Fault prediction,Model-free / Data driven,Model-free adaptive control,No,2.0,2-s2.0-105000013246
Solar water heating systems / Residential systems,Energy systems (not HVAC),solar,sensor data,Remaining Useful Life,Data driven,"Predictive maintenance algorithms (implied, possibly machine learning or analytics techniques)",Yes: Interpretable analytics or rule-based approaches (implied by the focus on energy savings and maintenance extension),3.0,2-s2.0-85190558045
Chip manufacturing,Chip manufacturing,,sensor data,Fault prediction,Data driven,Temporal Convolutional Network (TCN),No,4.0,2-s2.0-85197104039
Water monitoring systems,Water infrastructure,,sensor data,Fault prediction,Data driven,"Machine learning, Deep learning",No,2.0,2-s2.0-85170042918
Hydroponic systems / Agriculture,Agriculture,,"sensor data, time series",['Fault prediction'],Data driven,['Deep neural network'],No,2.0,2-s2.0-85163693960
Other,Other,,sensor data,Fault prediction,Rules and/or logic based,Extended Kalman Filter,Yes: Kalman Filter,2.0,2-s2.0-85200380672
Chip manufacturing,Chip manufacturing,,sensor data,Remaining Useful Life,Data driven,CNN with Temporal Pyramid Pooling,No,4.0,2-s2.0-85135479443
"Industrial systems (e.g., machining, aeronautical, railway components, control surfaces, fuel-injectors)",Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,"Diffusion process modeling, stochastic differential equations, Brownian motion transformation","Yes: The workflow involves interpretable indicators (like root locations and diffusion processes), transformation, and lifetime distribution based on mathematical models",3.0,2-s2.0-85107275254
Commercial aircraft engine systems (implied by C-MAPSS dataset),Aicraft / Aviation / Aerospace,,"time series, sensor data",Remaining Useful Life,Data driven,"['Deep learning', 'LSTM', 'TCN']",No,3.0,2-s2.0-85125192585
Superconducting cable monitoring system,Other,,sensor data,Fault prediction,Hybrid,"['Particle swarm optimization', 'BP neural network']",No,2.0,2-s2.0-85125206827
Industrial systems / Rotating machinery,Industrial systems,Rotating machinery / Bearings,sensor data,Fault prediction,Data driven,FFT,Yes: FFT (Fast Fourier Transform),3.0,2-s2.0-105002334352
Aerospace / Propulsion systems / Turbofan engines,Aicraft / Aviation / Aerospace,,sensor data,Remaining Useful Life,Data driven,"['Capsule Networks', 'Recurrent Neural Networks']",No,2.0,2-s2.0-85089171749
Offshore oil platform equipment,Oil and gas industry,Oil and Gas,"sensor data, maintenance records","Remaining Useful Life, Fault prediction",Data driven,"Causal tree diagnostic modelling, Stochastic approach",Yes: causal tree diagnostic modelling,2.0,2-s2.0-85107288543
Industrial systems / Predictive maintenance,Industrial systems,,sensor data,Fault prediction,Data driven,"['Recurrent Neural Networks', 'Convolutional Neural Networks', 'Long Short-Term Memory Networks', 'Autoencoders']",No,4.0,2-s2.0-105003235924
Navigation systems / GNSS and IMU integration,Navigation systems,,sensor data,Fault prediction,Data driven,Deep learning,No,2.0,2-s2.0-85120904393
Construction equipment/tools,Other,,"sensor data, time series",Fault prediction,Rules and/or logic based,Western Electric rules,Yes: Western Electric rules,2.0,2-s2.0-85109415712
Oil and Gas Production Systems,Oil and gas industry,Oil and Gas,sensor data,"['Fault prediction', 'Root cause analysis']",Knowledge based,"['Fault Location Aware State Estimator (FALASE)', 'FDI', 'Observability analysis', 'State estimation']",Yes: observability analysis and state estimation methods are generally interpretable,3.0,2-s2.0-105010826730
Aerospace systems,Aicraft / Aviation / Aerospace,,time series,Remaining Useful Life,Data driven,"Variational Auto-Encoder (VAE), Recurrent Neural Network (RNN)",No,3.0,2-s2.0-85135473113
Industrial systems,Industrial systems,,"sensor data, time series",Fault prediction,Data driven,"Local Outlier Factor, Isolation Forest",Yes: Outlier detection methods,3.0,2-s2.0-85135487750
Urban infrastructure / Smart cities,Civil infrastructure,,iot data,Not specified (possible for infrastructure optimization or decision-making),Other,Not specified,Not specified,0.0,2-s2.0-85189801599
Electric vehicle battery systems,Energy systems (not HVAC),Battery,"sensor data, time series",['Fault prediction'],Data driven,"['Autocorrelation coefficient', 'Kullback-Leibler (KL) dispersion']","Yes: autocorrelation coefficient, KL dispersion",3.0,2-s2.0-85200371501
Industrial systems (general),Industrial systems,,sensor data,Fault prediction,Data driven,Quantum Kernel Machine Learning,No,1.0,2-s2.0-85208223882
Aerospace systems / Electromechanical actuators (specifically electrical machines in aircraft),Aicraft / Aviation / Aerospace,,sensor data,Fault prediction,Data driven,Virtual sensor approach,Yes: interpretable,3.0,2-s2.0-85088399486
